entity_id,Entity_Name,Year_Title,liquidity_group,W1_Forecast,W2_Forecast,W3_Forecast,W4_Forecast,week_start,W1_Available,W2_Available,W3_Available,W4_Available,LP_Available_Count,LP_Volatility,LP_Trend,LP_Avg_Magnitude
11G5,RECYCO,2023/CW14,TRP,-4620596.0,-2122001.0,-158370.0,-446350.0,2023-04-03,True,True,True,True,4,2047871.9234036382,1391415.3333333333,-1836829.25
11G5,RECYCO,2023/CW15,TRP,-2284659.0,-161351.0,-3232826.0,-120915.0,2023-04-10,True,True,True,True,4,1560150.3516737043,721248.0,-1449937.75
11G5,RECYCO,2023/CW16,TRP,-148848.0,-635238.0,-2683630.0,-416300.0,2023-04-17,True,True,True,True,4,1158945.4457370574,-89150.66666666667,-971004.0
11G5,RECYCO,2023/CW17,TRP,-3223847.0,-117384.0,-416752.0,-2513238.0,2023-04-24,True,True,True,True,4,1534596.8796726118,236869.66666666666,-1567805.25
11G5,RECYCO,2023/CW18,TRP,-143970.0,-443305.0,-2536550.0,-105264.0,2023-05-01,True,True,True,True,4,1162706.4911433654,12902.0,-807272.25
11G5,RECYCO,2023/CW19,TRP,-486377.0,-5002624.0,-94104.0,-286636.0,2023-05-08,True,True,True,True,4,2362227.7888359786,66580.33333333333,-1467435.25
11G5,RECYCO,2023/CW20,TRP,-5245822.0,-127233.0,-382414.0,-145267.0,2023-05-15,True,True,True,True,4,2516446.4578206306,1700185.0,-1475184.0
11G5,RECYCO,2023/CW21,TRP,-158165.0,-751666.0,-385568.0,-1889734.0,2023-05-22,True,True,True,True,4,768875.1869319124,-577189.6666666666,-796283.25
11G5,RECYCO,2023/CW22,TRP,-570192.0,-787936.0,-1904651.0,-349333.0,2023-05-29,True,True,True,True,4,691339.9449653309,73619.66666666667,-903028.0
11G5,RECYCO,2023/CW23,TRP,-923346.0,-2047542.0,-378069.0,-3160554.0,2023-06-05,True,True,True,True,4,1236069.1011396775,-745736.0,-1627377.75
11G5,RECYCO,2023/CW24,TRP,-2160775.0,-432693.0,-3081607.0,-363880.0,2023-06-12,True,True,True,True,4,1337614.5205447832,598965.0,-1509738.75
11G5,RECYCO,2023/CW25,TRP,-4023776.0,-1571973.0,-1434549.0,-1945409.0,2023-06-19,True,True,True,True,4,1206039.0242614802,692789.0,-2243926.75
11G5,RECYCO,2023/CW26,TRP,-5892563.0,-1425811.0,-2145345.0,-220818.0,2023-06-26,True,True,True,True,4,2446694.181185895,1890581.6666666667,-2421134.25
11G5,RECYCO,2023/CW27,TRP,-7167407.0,-2271865.0,-231189.0,-86893.0,2023-07-03,True,True,True,True,4,3306186.2802285757,2360171.3333333335,-2439338.5
11G5,RECYCO,2023/CW28,TRP,-2381097.0,-3039961.0,-83579.0,-4915869.0,2023-07-10,True,True,True,True,4,1994743.3381534745,-844924.0,-2605126.5
11G5,RECYCO,2023/CW29,TRP,-3085477.0,-126680.0,-2902956.0,-274655.0,2023-07-17,True,True,True,True,4,1615706.3752874983,936940.6666666666,-1597442.0
11G5,RECYCO,2023/CW30,TRP,-419563.0,-3208501.0,-531304.0,-2361273.0,2023-07-24,True,True,True,True,4,1378249.6310169105,-647236.6666666666,-1630160.25
11G5,RECYCO,2023/CW31,TRP,-3033700.0,-254441.0,-2330567.0,-73646.0,2023-07-31,True,True,True,True,4,1483724.8927341618,986684.6666666666,-1423088.5
11G5,RECYCO,2023/CW32,TRP,-431518.0,-2389236.0,-106639.0,-1989344.0,2023-08-07,True,True,True,True,4,1128412.1872325365,-519275.3333333333,-1229184.25
11G5,RECYCO,2023/CW33,TRP,-2591380.0,-151897.0,-2134649.0,-219536.0,2023-08-14,True,True,True,True,4,1271117.0548176644,790614.6666666666,-1274365.5
11G5,RECYCO,2023/CW34,TRP,-171060.0,-2320991.0,-262545.0,-1491817.0,2023-08-21,True,True,True,True,4,1033231.6201369936,-440252.3333333333,-1061603.25
11G5,RECYCO,2023/CW35,TRP,-3866298.0,-1096580.0,-5669973.0,-993673.0,2023-08-28,True,True,True,True,4,2272495.888681136,957541.6666666666,-2906631.0
11G5,RECYCO,2023/CW36,TRP,-370554.0,-1597124.0,-166819.0,-187251.0,2023-09-04,True,True,True,True,4,683953.8020894881,61101.0,-580437.0
11G5,RECYCO,2023/CW37,TRP,-1592406.0,-211336.0,-2341929.0,-88469.0,2023-09-11,True,True,True,True,4,1094058.589813483,501312.3333333333,-1058535.0
