entity_id,liquidity_group,week_start,amount_eur,amount_mean,amount_std,txn_count,amount_min,amount_max,amount_abs_sum,amount_abs_mean,is_month_start_max,is_month_end_max,is_quarter_start_max,is_quarter_end_max,is_year_start_max,is_year_end_max,is_weekend_sum,rolling_7d_sum_last,rolling_7d_mean_last,rolling_7d_std_last,rolling_7d_count_last,rolling_14d_sum_last,rolling_14d_mean_last,rolling_14d_std_last,rolling_14d_count_last,rolling_30d_sum_last,rolling_30d_mean_last,rolling_30d_std_last,rolling_30d_count_last,dow_0_avg_amount_mean,dow_1_avg_amount_mean,dow_2_avg_amount_mean,dow_3_avg_amount_mean,dow_4_avg_amount_mean,dow_5_avg_amount_mean,dow_6_avg_amount_mean,week_year,week_number,month,quarter,year
V751,TRR,2022-08-01,3083094.29,44044.20414285715,62139.61778875289,70,180.09,361044.32,3083094.29,44044.20414285715,True,False,False,False,False,False,0,243499.41999999998,34785.631428571425,33411.056988434764,7.0,441100.1699999998,31507.154999999988,31082.80951380481,14.0,726255.5,24208.516666666666,23892.022221118576,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,31,8,3,2022
V751,TRR,2022-08-08,1628810.1,28082.932758620693,38915.88026734861,58,430.27,214230.63,1628810.1,28082.932758620693,False,False,False,False,False,False,0,162973.8,23281.971428571425,21219.79589996838,7.0,301399.7099999998,21528.5507142857,16709.1387280115,14.0,791981.2300000001,26399.374333333337,39440.93631829111,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,32,8,3,2022
V751,TRR,2022-08-15,2137025.47,27050.9553164557,35129.27341833895,79,8.26,206593.61,2137025.47,27050.9553164557,False,False,False,False,False,False,0,107274.40999999995,15324.915714285706,18097.483713119796,7.0,297359.1999999998,21239.94285714284,28662.81545154003,14.0,645351.15,21511.705,24616.180817242403,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.01881409139,5252.8,7097.783333333333,2022,33,8,3,2022
V751,TRR,2022-08-22,1714703.98,24150.76028169014,23631.36415676148,71,3012.9,116299.69,1714703.98,24150.76028169014,False,True,False,False,False,False,0,343271.64999999997,49038.807142857135,37803.48518459467,7.0,541282.8599999998,38663.06142857141,29904.265063205065,14.0,842059.39,28068.646333333334,28312.40037568705,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,34,8,3,2022
V751,TRR,2022-08-29,4449416.91,47843.19258064516,107402.92711151586,93,155.58,903084.33,4449416.91,47843.19258064516,True,True,False,False,False,False,0,139624.46,19946.351428571426,11430.193154047149,7.0,227910.40999999977,16279.314999999984,10978.396492521457,14.0,1654283.44,55142.78133333333,163528.86721217117,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,35,8,3,2022
V751,TRR,2022-09-05,3346382.09,34858.14677083333,52101.96449869542,96,448.91,276558.57,3346382.09,34858.14677083333,True,False,False,False,False,False,0,162047.24000000002,23149.605714285717,17122.63780885614,7.0,398871.10999999975,28490.793571428552,22521.0562853471,14.0,630897.4800000001,21029.916000000005,17824.7774875109,30.0,19869.302886103374,24938.980149367086,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,36,9,3,2022
V751,TRR,2022-09-12,2708933.74,27089.337400000004,32745.953127761528,100,707.37,172758.45,2708933.74,27089.337400000004,False,False,False,False,False,False,0,253162.51,36166.072857142855,46700.087876593854,7.0,375182.6399999998,26798.759999999984,34566.18648326637,14.0,807788.49,26926.283,28097.534167620874,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,37,9,3,2022
V751,TRR,2022-09-19,2442462.18,31720.288051948053,111582.24321559358,77,37.62,960498.48,2442462.18,31720.288051948053,False,False,False,False,False,False,0,59162.59,8451.798571428571,5033.698204581917,7.0,118674.35999999975,8476.739999999982,5761.655563679418,14.0,1334252.77,44475.092333333334,173431.1011474216,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.01881409138,5252.8,7097.783333333333,2022,38,9,3,2022
V751,TRR,2022-09-26,3502606.32,34679.2704950495,66340.52629940659,101,1044.59,537245.6,3502606.32,34679.2704950495,False,True,False,True,False,False,0,224234.86000000004,32033.551428571434,24131.557902150023,7.0,451981.0699999998,32284.362142857128,34613.977007439986,14.0,726653.5599999999,24221.78533333333,27364.19718500729,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792874,29296.018814091385,5252.8,7097.783333333333,2022,39,9,3,2022
V751,TRR,2022-10-03,1553330.21,30457.455098039216,44674.25147957106,51,3653.81,262939.91,1553330.21,30457.455098039216,True,False,True,False,False,False,0,287153.61000000004,41021.94428571429,51041.53221582982,7.0,643918.1999999997,45994.157142857126,72904.31545927453,14.0,1088883.89,36296.12966666666,54097.091162345976,30.0,19869.302886103374,24938.98014936709,26309.26720565149,25947.355556792878,29296.018814091385,5252.8,7097.783333333333,2022,40,10,4,2022
